Source,Target,Type,Id,Label,Weight
ThePeoplesHubHQ,CWTAIC,Directed,556,,1
firuzimehta,CWTAIC,Directed,557,,1
maegan_laporte,kittyhundal,Directed,558,,1
WoodsWonder1,CWTAIC,Directed,559,,1
rainbowofsun,nan,Directed,560,,1
jdpepe2236,nan,Directed,561,,1
Daniel09869733,DearCryptoDiary,Directed,562,,1
IanAlistairMac2,wopizza,Directed,563,,1
LBertaJ,wopizza,Directed,564,,1
JoyceCatanzari2,kittyhundal,Directed,565,,1
GATETA30,tsubject,Directed,566,,1
MaryJasper2,EssexPR,Directed,567,,1
chrispattihis,nan,Directed,568,,1
FeralShojo,bambkb,Directed,569,,1
DeeThom36738606,nan,Directed,570,,1
DemonCipher,nan,Directed,571,,1
see_veee,nan,Directed,572,,1
davidwetton,CWTAIC,Directed,573,,1
AbFabFit,nan,Directed,574,,1
estusratus,bambkb,Directed,575,,1
bjtraderr,bambkb,Directed,576,,1
Chard1Sue,wopizza,Directed,577,,1
SoniaHi27303526,bambkb,Directed,578,,1
X3N0N4N0N1,CWTAIC,Directed,579,,1
micasita0,wopizza,Directed,580,,1
HRMN8RHerm,bambkb,Directed,581,,1
SoarForFreedom,SoarForFreedom,Directed,582,,1
wopizza,nan,Directed,583,,1
ReillyHamil,CWTAIC,Directed,584,,1
Lumin261,CWTAIC,Directed,585,,1
paulbris2010,kittyhundal,Directed,586,,1
kevint905,nan,Directed,587,,1
HealthCoachLond,CWTAIC,Directed,588,,1
Drexcimer,CWTAIC,Directed,589,,1
magicalcurtain,kittyhundal,Directed,590,,1
iCelebrateStars,tsubject,Directed,591,,1
ChoicesMatter_,nan,Directed,592,,1
Romsey_squib,nan,Directed,593,,1
BARBARAKEDZIER1,AlterMoai,Directed,594,,1
AdamNorth321,bambkb,Directed,595,,1
mizz_beherenow,nan,Directed,596,,1
realJJDawson,nan,Directed,597,,1
BAerwaves,kittyhundal,Directed,598,,1
Richard41786952,bambkb,Directed,599,,1
papaemertussy,louietraub,Directed,600,,1
kittyhundal,nan,Directed,601,,1
kportocali,CWTAIC,Directed,602,,1
julesserkin,nan,Directed,603,,1
jewlry4justice,bambkb,Directed,604,,1
jmhffmn,nan,Directed,605,,1
williamaulicino,kittyhundal,Directed,606,,1
fin_dawn,wopizza,Directed,607,,1
Thosi43314438,nan,Directed,608,,1
lizduffy22,lizduffy22,Directed,609,,1
lizduffy22,nan,Directed,610,,1
HPot8888,kittyhundal,Directed,611,,1
NoLeftyEsty,bambkb,Directed,612,,1
EducateYal,nan,Directed,613,,1
PerKarlsen9,CWTAIC,Directed,614,,1
snwlooner,Fukuty11,Directed,615,,1
StaceyAtneosen,nan,Directed,616,,1
HitechguruS,nan,Directed,617,,1
TinesWes,bambkb,Directed,618,,1
BellaLea88,bambkb,Directed,619,,1
DeinhardtTimea,kittyhundal,Directed,620,,1
HelenMeulstee,bambkb,Directed,621,,1
Khris_St,bambkb,Directed,622,,1
kellyotweets,nan,Directed,623,,1
schmosef,DwayneHolubPPC,Directed,624,,1
FatMireille,nan,Directed,625,,1
gtacanada1,DwayneHolubPPC,Directed,626,,1
EmfFact,CWTAIC,Directed,627,,1
JenOb7,nan,Directed,628,,1
Jenifer46277051,CWTAIC,Directed,629,,1
OncRN5,wopizza,Directed,630,,1
luschievano,kittyhundal,Directed,631,,1
Cleometime333,kittyhundal,Directed,632,,1
LisaFos16,kittyhundal,Directed,633,,1
NSpippa,wopizza,Directed,634,,1
SaschaB31149225,wopizza,Directed,635,,1
ckruedy,tsubject,Directed,636,,1
Lalee41660792,wopizza,Directed,637,,1
Emma12348326,CWTAIC,Directed,638,,1
HerCyanideSmile,nan,Directed,639,,1
waldemardyck,kittyhundal,Directed,640,,1
chris_banida,CWTAIC,Directed,641,,1
AndrewK61818677,wopizza,Directed,642,,1
TheSent81167440,kittyhundal,Directed,643,,1
CalgaryCam,wopizza,Directed,644,,1
RingosMyUncle,bambkb,Directed,645,,1
orbyious,nan,Directed,646,,1
BasKlootwijk1,bambkb,Directed,647,,1
JayDill20735052,YegUnited,Directed,648,,1
rog_thronhill,CWTAIC,Directed,649,,1
Whoreal52649819,tsubject,Directed,650,,1
Mara64672767,TheEMC12,Directed,651,,1
NerClea,Anglc611,Directed,652,,1
Plucille54,kittyhundal,Directed,653,,1
bolli_ryan,wopizza,Directed,654,,1
em4est,nan,Directed,655,,1
NathanandEthel,kittyhundal,Directed,656,,1
rcjdp,wopizza,Directed,657,,1
raw_binhood,fearnley_k,Directed,658,,1
bradow78,wopizza,Directed,659,,1
Roosaan88R,DwayneHolubPPC,Directed,660,,1
EmonLusk42069,tfknocks,Directed,661,,1
MsKay52880596,wopizza,Directed,662,,1
MinisterPunk,nan,Directed,663,,1
mdkatrsk,tsubject,Directed,664,,1
DennisKeithMcG2,CWTAIC,Directed,665,,1
an44611493,CWTAIC,Directed,666,,1
ppcnews24,DwayneHolubPPC,Directed,667,,1
messageman,nan,Directed,668,,1
HMaypas,CWTAIC,Directed,669,,1
jeanetteimpia,CWTAIC,Directed,670,,1
c77643741,wopizza,Directed,671,,1
Dennistalksfact,CWTAIC,Directed,672,,1
AnaFelidae,michellespj,Directed,673,,1
StanziAck,bambkb,Directed,674,,1
Arclight1111,CWTAIC,Directed,675,,1
natural_Imunity,wopizza,Directed,676,,1
GegeBebiii,bambkb,Directed,677,,1
yoelmo21,nan,Directed,678,,1
MisterC28321778,bambkb,Directed,679,,1
DarrenBellreads,DarrenBellreads,Directed,680,,1
DarrenBellreads,nan,Directed,681,,1
niswarth,tsubject,Directed,682,,1
Rebecca21608510,HitechguruS,Directed,683,,1
tauros427,nan,Directed,684,,1
BarLeNoble_hd,nan,Directed,685,,1
TeaRachels,BLISSinHEALTH,Directed,686,,1
GoodShotKid,nan,Directed,687,,1
ravbasil,kittyhundal,Directed,688,,1
anilahuja12345,dipali_adv,Directed,689,,1
CraftsByAlison,nan,Directed,690,,1
JRocker464,nan,Directed,691,,1
rhaneya2,bambkb,Directed,692,,1
redhottimes,bambkb,Directed,693,,1
Conspir44029188,wopizza,Directed,694,,1
MelanieEresman,wopizza,Directed,695,,1
Pensfan668771,CWTAIC,Directed,696,,1
DebDannaBoyd,tsubject,Directed,697,,1
HouseOfGab,HitechguruS,Directed,698,,1
GonzoGuad,nan,Directed,699,,1
mikemazen3,wopizza,Directed,700,,1
shortfinal32,nan,Directed,701,,1
4XTraderAUD,nan,Directed,702,,1
LizLatcherie,wopizza,Directed,703,,1
ThePolemicist_,nan,Directed,704,,1
AlterMoai,nan,Directed,705,,1
Steni12311026,nan,Directed,706,,1
FrankBullitt39,mizz_beherenow,Directed,707,,1
