Source,Target,Type,Id,Label,Weight
1096235,1079059,Directed,3421,,1
109299323474206333,109255946904152379,Directed,3422,,1
109307130246963390,109255946904152379,Directed,3423,,1
109297419461399015,109255946904152379,Directed,3424,,1
108273707212417355,109255946904152379,Directed,3425,,1
109295769848429900,109255946904152379,Directed,3426,,1
109286310804394753,109255946904152379,Directed,3427,,1
109334601074483500,109255946904152379,Directed,3428,,1
109368718626740507,109255946904152379,Directed,3429,,1
109295910667317784,109255946904152379,Directed,3430,,1
109299795355810264,109255946904152379,Directed,3431,,1
109303651379363616,109255946904152379,Directed,3432,,1
109306596021946206,109255946904152379,Directed,3433,,1
1376122,1401120,Directed,3434,,1
1208575,109031675242908689,Directed,3435,,1
1380016,1221043,Directed,3436,,1
1362144,1221043,Directed,3437,,1
1317724,1217983,Directed,3438,,1
1298150,1322857,Directed,3439,,1
106677196821784252,867701,Directed,3440,,1
869404,106348349093091466,Directed,3441,,1
534310,1386411,Directed,3442,,1
109425210348071812,110204594238411756,Directed,3443,,1
109367294372212783,110204594238411756,Directed,3444,,1
109367294372212783,109291258983284848,Directed,3445,,1
109535510523310628,110204594238411756,Directed,3446,,1
110204594238411756,110204594238411756,Directed,3447,,1
109372015924437342,109297008473920291,Directed,3448,,1
109372015924437342,109291258983284848,Directed,3449,,1
109244722765544311,109367429902983564,Directed,3450,,1
109435280481026162,109367429902983564,Directed,3451,,1
109321822051627691,109367429902983564,Directed,3452,,1
109856024331673934,109367429902983564,Directed,3453,,1
109359055099826962,109367429902983564,Directed,3454,,1
109290258619801466,109367429902983564,Directed,3455,,1
109290258619801466,109291258983284848,Directed,3456,,1
108198421484475805,109367429902983564,Directed,3457,,1
108197416610174430,109367429902983564,Directed,3458,,1
109291082737363746,109367429902983564,Directed,3459,,1
109366930044944580,109367429902983564,Directed,3460,,1
109367429902983564,109367429902983564,Directed,3461,,1
109293863860311375,109367429902983564,Directed,3462,,1
109287407525960831,109367429902983564,Directed,3463,,1
109397953770000513,109367429902983564,Directed,3464,,1
1409982,109367429902983564,Directed,3465,,1
109446526974694082,109367429902983564,Directed,3466,,1
109293590962739810,109367429902983564,Directed,3467,,1
108212083932919265,108212083932919265,Directed,3468,,1
109372452107817259,108212083932919265,Directed,3469,,1
109245623800995471,108212083932919265,Directed,3470,,1
716624,108212083932919265,Directed,3471,,1
106114138320362609,108621463753550448,Directed,3472,,1
106762745309977518,107212863793925076,Directed,3473,,1
106751544933173649,107212863793925076,Directed,3474,,1
1352471,106796327642734211,Directed,3475,,1
106745560825851668,106796327642734211,Directed,3476,,1
109418876621733448,109514242010201873,Directed,3477,,1
109265325424983504,109305863889828371,Directed,3478,,1
109381926682736055,109305863889828371,Directed,3479,,1
109283419861545610,109305863889828371,Directed,3480,,1
109321256863300868,109305863889828371,Directed,3481,,1
109300445146749990,109305863889828371,Directed,3482,,1
109320551498540168,109305863889828371,Directed,3483,,1
1138175,109406916464438912,Directed,3484,,1
109947614264363199,109406916464438912,Directed,3485,,1
109408677031021087,109406916464438912,Directed,3486,,1
109360273222150680,109406916464438912,Directed,3487,,1
109365473376728849,109406916464438912,Directed,3488,,1
109376905577795098,109406916464438912,Directed,3489,,1
109295763807679190,109406916464438912,Directed,3490,,1
109304133452337986,109406916464438912,Directed,3491,,1
109289374946323981,109406916464438912,Directed,3492,,1
109439837688000622,109406916464438912,Directed,3493,,1
109371966298929748,109406916464438912,Directed,3494,,1
108199005031226769,109406916464438912,Directed,3495,,1
108199005031226769,109291258983284848,Directed,3496,,1
108199005031226769,109253468172621220,Directed,3497,,1
109257619631685691,109406916464438912,Directed,3498,,1
109305627984010395,109406916464438912,Directed,3499,,1
109297111162570193,109242875206644932,Directed,3500,,1
109430324517016354,109406916464438912,Directed,3501,,1
109271822938360445,109378311472685944,Directed,3502,,1
109344784999886813,109378311472685944,Directed,3503,,1
109440897426540743,109378311472685944,Directed,3504,,1
109391200822358453,109378311472685944,Directed,3505,,1
109333030986080867,109378311472685944,Directed,3506,,1
109243758526765807,109298374026784828,Directed,3507,,1
110106681092828119,109291258983284848,Directed,3508,,1
109254291177807294,109291258983284848,Directed,3509,,1
109303024657562760,109291258983284848,Directed,3510,,1
408393,109291258983284848,Directed,3511,,1
32480,109291258983284848,Directed,3512,,1
110094066387055395,109291258983284848,Directed,3513,,1
108205386385101313,109291258983284848,Directed,3514,,1
109620785786254977,109291258983284848,Directed,3515,,1
109364668069119362,109291258983284848,Directed,3516,,1
109288856841893953,109291258983284848,Directed,3517,,1
109362556345297756,109291258983284848,Directed,3518,,1
109258636566275551,109291258983284848,Directed,3519,,1
109341858255988212,109291258983284848,Directed,3520,,1
109310809965283004,109291258983284848,Directed,3521,,1
109333753382341064,109291258983284848,Directed,3522,,1
109333753382341064,109265277788769753,Directed,3523,,1
109377315050142493,109291258983284848,Directed,3524,,1
109452225920095849,109291258983284848,Directed,3525,,1
109311743803040303,109291258983284848,Directed,3526,,1
109326342429005451,109291258983284848,Directed,3527,,1
109135261974526556,109291258983284848,Directed,3528,,1
109271476622200904,109291258983284848,Directed,3529,,1
109301163035897471,109291258983284848,Directed,3530,,1
109359734165562319,109291258983284848,Directed,3531,,1
109326755713280870,109291258983284848,Directed,3532,,1
109305798934558756,109291258983284848,Directed,3533,,1
108217661718174629,109291258983284848,Directed,3534,,1
109441556814990364,109291258983284848,Directed,3535,,1
109303857407992917,109291258983284848,Directed,3536,,1
61565,109291258983284848,Directed,3537,,1
109467800043758406,109291258983284848,Directed,3538,,1
109789903369958197,109291258983284848,Directed,3539,,1
109310729217880192,109291258983284848,Directed,3540,,1
109616214127773843,109291258983284848,Directed,3541,,1
109603511199865642,109291258983284848,Directed,3542,,1
109247514295364421,109291258983284848,Directed,3543,,1
109295068097986170,109291258983284848,Directed,3544,,1
109374067955458326,109291258983284848,Directed,3545,,1
109331894973388196,109291258983284848,Directed,3546,,1
109256115874030121,109291258983284848,Directed,3547,,1
109304635555449414,109291258983284848,Directed,3548,,1
109401250498305276,109291258983284848,Directed,3549,,1
109327912109511807,109291258983284848,Directed,3550,,1
109293661852240212,109291258983284848,Directed,3551,,1
109297112920247036,109291258983284848,Directed,3552,,1
110017174371594546,109291258983284848,Directed,3553,,1
1099836,109291258983284848,Directed,3554,,1
109258688916050390,109291258983284848,Directed,3555,,1
109252303098458657,109291258983284848,Directed,3556,,1
156604,109291258983284848,Directed,3557,,1
109419592456295345,109291258983284848,Directed,3558,,1
109377178350793794,109291258983284848,Directed,3559,,1
109314281185328097,109291258983284848,Directed,3560,,1
109321630790202808,109291258983284848,Directed,3561,,1
109377669952026378,109291258983284848,Directed,3562,,1
109744740512126081,109291258983284848,Directed,3563,,1
109306793655807129,109291258983284848,Directed,3564,,1
109560358091223138,109291258983284848,Directed,3565,,1
109303086477883095,109291258983284848,Directed,3566,,1
109365075896912373,109291258983284848,Directed,3567,,1
109326138476754431,109291258983284848,Directed,3568,,1
109331211504359288,109291258983284848,Directed,3569,,1
109377110690000179,109291258983284848,Directed,3570,,1
109393681134209408,109291258983284848,Directed,3571,,1
109290734500322941,109291258983284848,Directed,3572,,1
109327850167743056,109291258983284848,Directed,3573,,1
109530907897581855,109291258983284848,Directed,3574,,1
109376945996439666,109291258983284848,Directed,3575,,1
109372843451922675,109291258983284848,Directed,3576,,1
109366052300785135,109291258983284848,Directed,3577,,1
109322474507447022,109291258983284848,Directed,3578,,1
109294963047898262,109291258983284848,Directed,3579,,1
109297635266760368,109291258983284848,Directed,3580,,1
109260948717859848,109291258983284848,Directed,3581,,1
109456735269037754,109291258983284848,Directed,3582,,1
109456735269037754,109458528889051390,Directed,3583,,1
108271169646641765,109291258983284848,Directed,3584,,1
227191,109291258983284848,Directed,3585,,1
1034284,109291258983284848,Directed,3586,,1
109322988518907165,109291258983284848,Directed,3587,,1
109374497367543579,109291258983284848,Directed,3588,,1
109339893875598788,109291258983284848,Directed,3589,,1
194024,109291258983284848,Directed,3590,,1
109806102970286422,109291258983284848,Directed,3591,,1
109300608876785005,109291258983284848,Directed,3592,,1
109287556558483352,109291258983284848,Directed,3593,,1
109315439939527349,109291258983284848,Directed,3594,,1
109296767466316795,109291258983284848,Directed,3595,,1
301272,109291258983284848,Directed,3596,,1
109339045171397580,109291258983284848,Directed,3597,,1
106681619710732866,109291258983284848,Directed,3598,,1
109330983223549552,109291258983284848,Directed,3599,,1
109359743993484116,109294092712235567,Directed,3600,,1
109254076112669915,109515885972530422,Directed,3601,,1
109753760562025168,109515885972530422,Directed,3602,,1
109205963723515372,109307242521089704,Directed,3603,,1
109307230668489311,109291258983284848,Directed,3604,,1
109362436692089964,109291258983284848,Directed,3605,,1
109831600568462214,109291258983284848,Directed,3606,,1
109369456848825734,109265277788769753,Directed,3607,,1
109555025182890508,109265277788769753,Directed,3608,,1
109241640066823957,109265277788769753,Directed,3609,,1
109251312445372658,109265277788769753,Directed,3610,,1
109337070170486070,109265277788769753,Directed,3611,,1
109522207358280560,109380220159682907,Directed,3612,,1
109377695109610911,109380220159682907,Directed,3613,,1
109333139718251101,109380220159682907,Directed,3614,,1
109373082411192281,109380220159682907,Directed,3615,,1
109326242297044303,109265277788769753,Directed,3616,,1
108930380914334441,109257971674343622,Directed,3617,,1
219844,109257971674343622,Directed,3618,,1
109299534260958509,109257971674343622,Directed,3619,,1
109404233042782919,108199374483370995,Directed,3620,,1
109299346827398030,108199374483370995,Directed,3621,,1
109291683361606056,108199374483370995,Directed,3622,,1
109259849904939694,108199374483370995,Directed,3623,,1
109286379719590559,108199374483370995,Directed,3624,,1
109286379719590559,109368019003580791,Directed,3625,,1
109265277788769753,108199374483370995,Directed,3626,,1
109362288467189140,109362598883720146,Directed,3627,,1
109513683956961913,109406916464438912,Directed,3628,,1
109464403869787096,109406916464438912,Directed,3629,,1
109351729386108317,109406916464438912,Directed,3630,,1
109395789479237085,109368019003580791,Directed,3631,,1
108198609139600715,109368019003580791,Directed,3632,,1
109295250663925015,109368019003580791,Directed,3633,,1
109364343145363417,109368019003580791,Directed,3634,,1
109504192059333074,109368019003580791,Directed,3635,,1
109314424721784191,109368019003580791,Directed,3636,,1
226997,109368019003580791,Directed,3637,,1
109299079925984332,109368019003580791,Directed,3638,,1
109244233867220646,109368019003580791,Directed,3639,,1
109249099340852800,109368019003580791,Directed,3640,,1
109311572837038451,109368019003580791,Directed,3641,,1
109377287788666904,109368019003580791,Directed,3642,,1
109389521559943304,109368019003580791,Directed,3643,,1
109260755590514972,109368019003580791,Directed,3644,,1
109508976173247180,109368019003580791,Directed,3645,,1
109362611640990493,109368019003580791,Directed,3646,,1
109288722729633265,109368019003580791,Directed,3647,,1
109433315163241122,109368019003580791,Directed,3648,,1
109289066804128515,109368019003580791,Directed,3649,,1
1401569,109368019003580791,Directed,3650,,1
109364261979366951,109367628558585831,Directed,3651,,1
109306642973160841,418295,Directed,3652,,1
109301427954846081,109253468172621220,Directed,3653,,1
109313489530314328,109253468172621220,Directed,3654,,1
109289322255121372,109253468172621220,Directed,3655,,1
109395424581246125,109331053944439971,Directed,3656,,1
109310143243213956,109331053944439971,Directed,3657,,1
161994,109331053944439971,Directed,3658,,1
109320554656007285,109331053944439971,Directed,3659,,1
109252353000305626,109331053944439971,Directed,3660,,1
1199297,1021813,Directed,3661,,1
106480314881663890,1345713,Directed,3662,,1
1231320,1345713,Directed,3663,,1
481189,714577,Directed,3664,,1
