Source,Target,Type,Id,Label,Weight
daktari1,Amref_Worldwide,Directed,278,,1
JBHelpedMeTalk9,joshuadnash,Directed,279,,1
LouLouKolt19,nan,Directed,280,,1
KathyEcklund1,nan,Directed,281,,1
angelab98568885,EpochTimes,Directed,282,,1
NotthatSuzanne,nan,Directed,283,,1
NFIDvaccines,nan,Directed,284,,1
diane_pagen,nan,Directed,285,,1
PeggyLindy,EpochTimes,Directed,286,,1
PaulSte35152232,EpochTimes,Directed,287,,1
willtoledod,nan,Directed,288,,1
blaserv,nan,Directed,289,,1
blaserv,npeimbert,Directed,290,,1
DrRoySmythe,nan,Directed,291,,1
AnantBhan,npeimbert,Directed,292,,1
Power_Thru,lpackard,Directed,293,,1
TrinityMustache,DougMDSueRN,Directed,294,,1
JustACTIONS,nan,Directed,295,,1
Ch4ntHareKrsna,EpochTimes,Directed,296,,1
vero_trl,EpochTimes,Directed,297,,1
LTJansman,nan,Directed,298,,1
dragonfly5327,EpochTimes,Directed,299,,1
KSGirl2007,EpochTimes,Directed,300,,1
jman37297,nan,Directed,301,,1
MolsonTheWeimer,EpochTimes,Directed,302,,1
ReidSmall,nan,Directed,303,,1
DawnRoseTurner,ScienceNotDogma,Directed,304,,1
pureechef,nan,Directed,305,,1
CPhAAPhC,ImmunizedotCa,Directed,306,,1
DerekAllerton,ImmunizedotCa,Directed,307,,1
EddieBrite1,PatTheAlpha06,Directed,308,,1
TooBoldForThis,Last_Bolshevik,Directed,309,,1
lesterdawg,nan,Directed,310,,1
NHHospitals,nan,Directed,311,,1
AlexMMTri,nan,Directed,312,,1
MayoClinicKids,nan,Directed,313,,1
robpam19,lpackard,Directed,314,,1
Charlie11Pedro,EpochTimes,Directed,315,,1
JasonVhees13,EpochTimes,Directed,316,,1
AmyStaleyRN,NursingNow2020,Directed,317,,1
krobz,FultonHealth,Directed,318,,1
Hik_Kodiak,EpochTimes,Directed,319,,1
Maritelcostales,UNICEFDRC,Directed,320,,1
klr_rdr,EpochTimes,Directed,321,,1
karen1smith1,DougMDSueRN,Directed,322,,1
alisonbflynn,DrLCsquare,Directed,323,,1
dr_allana,npeimbert,Directed,324,,1
CapitalBabs,EpochTimes,Directed,325,,1
mcasper100,EpochTimes,Directed,326,,1
DebALester,nan,Directed,327,,1
kicknldy,nan,Directed,328,,1
ImmuneNY,NFIDvaccines,Directed,329,,1
MarshaPike6,MayoClinicKids,Directed,330,,1
Monique91388468,EpochTimes,Directed,331,,1
sexAbled,SFdirewolf,Directed,332,,1
monitor_PH,PATHtweets,Directed,333,,1
tres444,EpochTimes,Directed,334,,1
CampusSafetyMag,nan,Directed,335,,1
CarolDunnack,EpochTimes,Directed,336,,1
HenleySecnethia,natlawreview,Directed,337,,1
lizsteel199,EpochTimes,Directed,338,,1
AuntSophie1,lpackard,Directed,339,,1
classical963fm,JaneBrownNews,Directed,340,,1
TotallyCanc3l3d,nan,Directed,341,,1
ThisIsCANVax,ImmunizedotCa,Directed,342,,1
AriefWi48645487,Vaccinologist,Directed,343,,1
StandleyLaurel,Laurel_Standley,Directed,344,,1
RossCassety,EpochTimes,Directed,345,,1
Joanalee2,EpochTimes,Directed,346,,1
EpochTimes,nan,Directed,347,,1
Classical1029fm,JaneBrownNews,Directed,348,,1
npeimbert,nan,Directed,349,,1
7leaguebootdisk,GaryRayBetz,Directed,350,,1
timdcook4,EpochTimes,Directed,351,,1
JessicaBeanTT,nan,Directed,352,,1
BonAirLady,EpochTimes,Directed,353,,1
lmtkelowna,nan,Directed,354,,1
leehawk25,EpochTimes,Directed,355,,1
SwastikaSymbol,EpochTimes,Directed,356,,1
BrendaThurlow4,nan,Directed,357,,1
BumphBean,FultonHealth,Directed,358,,1
sabinvaccine,npeimbert,Directed,359,,1
morganarae,nan,Directed,360,,1
Mara64672767,David83823494,Directed,361,,1
DarrylStevenson,EpochTimes,Directed,362,,1
benwesson,nan,Directed,363,,1
ipadpro31431015,Canada,Directed,364,,1
toothdoc3,EpochTimes,Directed,365,,1
factishtruthish,EpochTimes,Directed,366,,1
natlawreview,nan,Directed,367,,1
CrhnOrg,nan,Directed,368,,1
pippa_matt,nan,Directed,369,,1
DeeLau1,nan,Directed,370,,1
bisquiat,nan,Directed,371,,1
QRTnurse,EpochTimes,Directed,372,,1
HAsl05766677,2Married4Ever,Directed,373,,1
kevindmccaul,BrendaThurlow4,Directed,374,,1
ReneeMcCone,EpochTimes,Directed,375,,1
maryjmchenry,Doctors_NS,Directed,376,,1
db11770382,TotallyCanc3l3d,Directed,377,,1
gsuprc,nan,Directed,378,,1
KLSforkansas,lpackard,Directed,379,,1
SunsUpGunsUp14,EpochTimes,Directed,380,,1
NowVoices,EpochTimes,Directed,381,,1
SAPHNAsharonOBE,nan,Directed,382,,1
HEDJ_Weddings,EpochTimes,Directed,383,,1
laktarr001,Amref_Worldwide,Directed,384,,1
SassyPatriot67,EpochTimes,Directed,385,,1
TraceyBleakley,nandwics,Directed,386,,1
ankitsa64753824,WHOTLS,Directed,387,,1
ankitsa64753824,UNICEF_ECA,Directed,388,,1
this1wierdgirl,nan,Directed,389,,1
kim42110,nan,Directed,390,,1
WESTSTIGERS05,EpochTimes,Directed,391,,1
Delb72,nan,Directed,392,,1
KeGOPGO,EpochTimes,Directed,393,,1
kalthegal_,nan,Directed,394,,1
OldArmyNurse4,EpochTimes,Directed,395,,1
Ivan2488083248,EpochTimes,Directed,396,,1
3xAcide,EpochTimes,Directed,397,,1
jczetta,Eman_Rimawi,Directed,398,,1
katfen5,EpochTimes,Directed,399,,1
BrooklynBCID,Eman_Rimawi,Directed,400,,1
commadvocoalit,nan,Directed,401,,1
RuralHomeCareBG,shannonrosa,Directed,402,,1
GFilwett,EpochTimes,Directed,403,,1
4u2get2no76,EpochTimes,Directed,404,,1
Vaxyourfam,NFIDvaccines,Directed,405,,1
rolandoarogon,EpochTimes,Directed,406,,1
joshuadnash,nan,Directed,407,,1
HealthCareVoice,lpackard,Directed,408,,1
bcuzimdamomma,EpochTimes,Directed,409,,1
DebHolloway,Curlygurl_2,Directed,410,,1
pharm_dbartlett,DrNeilStone,Directed,411,,1
thatqueerbruh,nan,Directed,412,,1
nkyhealth,nan,Directed,413,,1
lordsarcastico,TotallyCanc3l3d,Directed,414,,1
BairdArelis,EpochTimes,Directed,415,,1
NicoleARizza,FultonHealth,Directed,416,,1
KeepNHHealthy,nan,Directed,417,,1
toddmodem,TotallyCanc3l3d,Directed,418,,1
zblackcat2005,nan,Directed,419,,1
ImmunizeCa,AlexMMTri,Directed,420,,1
harper370,nan,Directed,421,,1
AndreaAdlerPhD,Vaccinologist,Directed,422,,1
FultonInfo,FultonHealth,Directed,423,,1
FultonHealth,nan,Directed,424,,1
LlareggubHall,GaryRayBetz,Directed,425,,1
dcbirdie1,EpochTimes,Directed,426,,1
thurston_21,EpochTimes,Directed,427,,1
RalphVenita,EpochTimes,Directed,428,,1
CLEHIVtrials,nan,Directed,429,,1
PATHtweets,nan,Directed,430,,1
RobSmithson6,EpochTimes,Directed,431,,1
lpackard,nan,Directed,432,,1
DrShaneGordon,SuffolkLPC,Directed,433,,1
aechevez123,UNICEF_ECA,Directed,434,,1
TNsmartass,nan,Directed,435,,1
spicegirl_MITCH,EveafriqueNews,Directed,436,,1
JaneWenk,EpochTimes,Directed,437,,1
tami32961,DougMDSueRN,Directed,438,,1
radical_ranger1,Curlygurl_2,Directed,439,,1
Laurel_Standley,nan,Directed,440,,1
apatriot_r,nan,Directed,441,,1
pghjoseph,nan,Directed,442,,1
sophiatseliem,EpochTimes,Directed,443,,1
JToddWelch,nan,Directed,444,,1
UKGastroDr,nan,Directed,445,,1
alisonbuckley,nan,Directed,446,,1
BWellsMC,nan,Directed,447,,1
SizzlePodcast,nan,Directed,448,,1
TimmyGeist,nan,Directed,449,,1
JaneBrownNews,nan,Directed,450,,1
amscherer,NFIDvaccines,Directed,451,,1
JVAE63,EpochTimes,Directed,452,,1
fabucat,lpackard,Directed,453,,1
TMFNetworks,nan,Directed,454,,1
